"Tourism and travel","Spain","Imports of Services (Euro Million)",0,993,959,1106,1243,1351,1148,939,1009,961,990,883,941,1156
"Tourism and travel","France","Exports of Services (Euro Million)",171,170,195,214,216,250,197,196,196,189,200,201,314,291
"Tourism and travel","France","Imports of Services (Euro Million)",371,419,471,449,566,648,539,431,326,322,374,354,376,333
"Tourism and travel","United Kingdom","Exports of Services (Euro Million)",1524,1476,1382,1465,1482,1531,1037,859,864,850,880,918,851,828
"Tourism and travel","United Kingdom","Imports of Services (Euro Million)",596,602,711,688,712,900,803,948,959,901,803,1105,1150,1176
"Tourism and travel","Italy","Exports of Services (Euro Million)",113,105,122,145,160,124,159,95,103,107,118,131,209,251
"Tourism and travel","Italy","Imports of Services (Euro Million)",210,221,257,339,441,416,314,341,208,211,230,203,213,301
"Tourism and travel","Japan","Exports of Services (Euro Million)",21,51,38,34,34,24,33,6,10,7,9,11,6,12
"Tourism and travel","Japan","Imports of Services (Euro Million)",13,5,19,19,15,23,14,2,0,0,17,14,16,14
"Tourism and travel","South Korea","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","South Korea","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Luxembourg","Exports of Services (Euro Million)",0,5,5,5,4,7,0,4,6,4,4,7,5,5
"Tourism and travel","Luxembourg","Imports of Services (Euro Million)",0,4,4,5,4,0,5,2,4,4,5,2,2,4
"Tourism and travel","Netherlands","Exports of Services (Euro Million)",86,84,99,89,91,78,94,53,67,51,69,57,75,63
"Tourism and travel","Netherlands","Imports of Services (Euro Million)",63,55,64,66,49,56,36,63,62,55,32,58,62,76
"Tourism and travel","Sweden","Exports of Services (Euro Million)",0,23,37,43,58,43,32,30,30,47,43,43,22,40
"Tourism and travel","Sweden","Imports of Services (Euro Million)",0,21,31,20,19,17,0,17,17,19,17,13,14,32
"Tourism and travel","Taiwan, Province of China","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Taiwan, Province of China","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","United States","Exports of Services (Euro Million)",716,701,671,782,793,619,664,641,606,660,715,779,562,738
"Tourism and travel","United States","Imports of Services (Euro Million)",598,594,806,864,1040,1193,0,690,614,590,602,638,689,776
"Tourism and travel","South Africa","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","South Africa","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Africa (6)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Africa (6)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Asia (6)","Exports of Services (Euro Million)",60,145,162,170,170,160,151,112,50,47,49,51,46,52
"Tourism and travel","Asia (6)","Imports of Services (Euro Million)",139,5,25,19,15,23,14,2,0,0,17,14,16,14
"Tourism and travel","Oceania and Polar Regions (2)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Oceania and Polar Regions (2)","Imports of Services (Euro Million)",0,0,45,49,44,40,50,56,56,56,56,56,56,56
"Tourism and travel","Central America (1)","Exports of Services (Euro Million)",19,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Central America (1)","Imports of Services (Euro Million)",69,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU17","Exports of Services (Euro Million)",0,0,0,0,0,0,1078,870,917,0,0,0,0,0
"Tourism and travel","EMU17","Imports of Services (Euro Million)",0,0,0,0,0,0,2706,2418,2225,0,0,0,0,0
"Tourism and travel","EMU16","Exports of Services (Euro Million)",0,0,0,0,1017,1010,0,0,0,0,0,0,0,0
"Tourism and travel","EMU16","Imports of Services (Euro Million)",0,0,0,0,2996,3284,0,0,0,0,0,0,0,0
"Tourism and travel","EMU12","Exports of Services (Euro Million)",711,721,897,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU12","Imports of Services (Euro Million)",2147,2078,2267,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU13","Exports of Services (Euro Million)",0,0,0,948,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU13","Imports of Services (Euro Million)",0,0,0,2554,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU18","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EMU18","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
