"Fixed vegetable oils and fats (42)","Value of Imports (Euro Thousand)",5540,8771,8682,11580,15460,15083,20890,20761,26088,26059,28737,49251,52116,34081,32569,36167,40101,33115,37432,36568,40886,52440,65772,61074,61963,75422,69963,64300,68400,66100,74300,73900,81100,105000,129400,168800,144800,148800,202800,205700,199300,184500,201100,197200,222600
"Fixed vegetable oils and fats (42)","Value of Exports (Euro Thousand)",682,790,709,1095,1639,984,1745,785,1381,1338,1182,792,795,769,425,780,1348,627,541,508,762,1651,2539,2539,3809,4190,4444,3900,5000,1500,900,1600,1700,2400,2600,3300,2000,2600,6400,6700,7500,7000,6100,7200,11300
"Animal and vegetable oils and fats, processed, and waxes (43)","Value of Imports (Euro Thousand)",527,3267,1695,2924,4142,4389,7065,7621,7740,9228,10021,14781,17555,13237,10378,14837,17483,13673,11397,12443,23490,26664,28950,31363,36061,43425,57900,47600,41100,43000,42900,37900,42700,51200,24200,29700,23800,21800,32100,30700,23300,18200,27800,27000,19600
"Animal and vegetable oils and fats, processed, and waxes (43)","Value of Exports (Euro Thousand)",311,623,524,603,884,816,2103,1469,862,913,946,971,1082,833,648,662,1381,909,1001,762,635,381,254,3682,4317,19808,3047,1400,900,2600,6900,4800,1600,2400,2100,1500,1200,1200,1500,1700,2000,2400,1800,1900,800
"Chemicals and related products, n.e.s. (5)","Value of Imports (Euro Thousand)",156545,238607,243682,326000,436735,562670,716627,711324,877386,936071,1071004,1310281,1400842,1330462,1430031,1640693,1935984,1972508,2167871,2175061,2350284,2840785,3347664,3507272,4076495,4340471,4931790,6105200,6340700,6922300,6897400,7139600,7419100,7963600,8126600,8282100,7371900,8758100,10415400,10265100,10872700,11443400,13977800,14963200,17475000
"Chemicals and related products, n.e.s. (5)","Value of Exports (Euro Thousand)",74523,124422,137379,212665,309852,450672,573541,660207,815877,1022672,1223544,1569763,1785875,1588444,1659762,2047558,2647243,2886560,3373559,4061638,4855098,6039001,6694568,8538226,11342697,18155731,21168693,27360600,32281200,39060600,35785400,37491900,40420800,39695800,43069300,44225500,49314900,53236600,56030700,55044800,50394000,51569000,64224100,66385300,67818500
"Organic chemicals (51)","Value of Imports (Euro Thousand)",30536,56116,58094,70186,66208,138226,146227,111383,126557,161259,183739,246502,254755,209537,256010,270786,343561,366591,443506,447456,516529,655312,861263,821648,976810,1231646,1466928,1669400,1558300,2013800,1841000,2209200,2117300,2083700,1947500,1748700,1679900,2100200,2456200,2485100,2548000,3026000,3764400,4271900,3747000
"Organic chemicals (51)","Value of Exports (Euro Thousand)",19111,25983,29976,73137,121199,223125,265217,323365,394820,498912,647140,804204,942631,787255,739049,853152,1146918,1233572,1469954,1803917,2367300,3088130,3364171,4016816,5127964,9946239,11394122,16897500,17117900,17385400,15081100,14650800,17757200,17059100,19641400,17815800,18129800,19722200,19968900,20053000,18588800,18170700,21495600,23636700,19756900
"Inorganic chemicals (52)","Value of Imports (Euro Thousand)",1905,453,406,615,44038,45971,50363,60056,67697,60753,74996,81254,79122,76192,77928,100822,112128,104529,106266,108436,121260,120117,147671,166082,154654,153384,191223,270100,239700,172500,154600,177400,215800,211100,195700,201200,150200,165700,205200,197900,209100,206900,271500,279600,319700
"Inorganic chemicals (52)","Value of Exports (Euro Thousand)",51,11,555,0,10404,12042,19704,24964,25956,40931,38090,47903,54410,42352,39726,54695,57136,52537,56045,43806,34156,48377,101325,120625,135100,168748,214840,356000,239800,142700,131000,158100,108300,115900,112100,115500,59000,90100,146900,191600,197200,170200,153300,163800,155900
